"munic_id","munic_name","area_mine"
3200102,"AFONSO CLAUDIO",72065.39
3200136,"AGUIA BRANCA",39815.86
3200359,"ALTO RIO NOVO",20313.307
3200607,"ARACRUZ",37.868
3200805,"BAIXO GUANDU",87435.821
3200904,"BARRA DE SAO FRANCISCO",1030.306
3201159,"BREJETUBA",18477.208
3201506,"COLATINA",152617.305
3201704,"CONCEICAO DO CASTELO",896.865
3201902,"DOMINGOS MARTINS",196.596
3202454,"IBATIBA",2361.931
3202504,"IBIRACU",1028.008
3202652,"IRUPI",304.929
3202702,"ITAGUACU",45205.141
3202900,"ITARANA",20059.485
3203007,"IUNA",5687.636
3203130,"JOAO NEIVA",15699.944
3203163,"LARANJA DA TERRA",30521.723
3203205,"LINHARES",133728.912
3203304,"MANTENOPOLIS",11316.195
3203353,"MARILANDIA",27166.351
3203700,"MUNIZ FREIRE",1135.899
3203908,"NOVA VENECIA",1050.287
3204005,"PANCAS",58759.917
3204351,"RIO BANANAL",56017.758
3204559,"SANTA MARIA DE JETIBA",3223.446
3204609,"SANTA TERESA",33773.406
3204658,"SAO DOMINGOS DO NORTE",23770.703
3204708,"SAO GABRIEL DA PALHA",15593.557
3204955,"SAO ROQUE DO CANAA",23513.289
3205010,"SOORETAMA",2015.489
3205069,"VENDA NOVA DO IMIGRANTE",0.199
3205176,"VILA VALERIO",12373.536
